# word	AvgPosScore	AvgNegScore
fawn	0.125	0.0625
unattackable	0.125	0.0
utnapishtim	0.375	0.125
underachieve	0.0	0.125
comically	0.625	0.0
scold	0.0	0.5
originality	0.0	0.625
jagannath	0.0	0.125
rumbustious	0.0	0.375
belligerency	0.125	0.125
screaming	0.28125	0.21875
wooded	0.0	0.25
grueling	0.125	0.5
vibrational	0.25	0.125
wooden	0.25	0.25
stereotypical	0.25	0.625
steadfastness	0.3125	0.375
sooty	0.0	0.125
inevitably	0.25	0.0
splendiferous	0.625	0.125
precocity	0.0	0.125
feasibility	0.375	0.25
sooth	0.5	0.0
consenting	0.375	0.0
inanimate	0.0	0.75
dormancy	0.125	0.1875
tensely	0.125	0.0
designing	0.125	0.0
hallucinating	0.0	0.625
succumb	0.25	0.0625
widget	0.125	0.125
jubilantly	0.5	0.25
brainwashed	0.125	0.0
chine	0.0	0.1875
china	0.5	0.0
cupful	0.125	0.0
controversy	0.125	0.0
spotty	0.625	0.25
climber	0.375	0.0
appropriately	0.25	0.0
topography	0.0625	0.0625
projection	0.3125	0.0
unsinkable	0.0	0.625
stern	0.0833333333333	0.583333333333
catchy	0.3125	0.1875
insecurity	0.125	0.1875
definiteness	0.5	0.0
music	0.875	0.0
mystic	0.375	0.375
changelessness	0.375	0.375
skewness	0.0	0.25
mesmerize	0.125	0.0
yahoo	0.125	0.75
exuberantly	0.3125	0.0
serially	0.125	0.0
blustering	0.0	0.125
morally	0.4375	0.0
simper	0.1875	0.125
expressively	0.0	0.25
wank	0.5	0.0
ungraceful	0.25	0.5
want	0.196428571429	0.196428571429
pinto	0.0	0.125
absolute	0.25	0.3125
sugarless	0.0	0.375
tchaikovsky	0.125	0.0
copious	0.125	0.0
krait	0.0	0.125
speciousness	0.5	0.375
brassard	0.0	0.125
uselessness	0.375	0.25
outfight	0.25	0.0
wrong	0.0625	0.677083333333
season	0.3125	0.1875
kiloton	0.0	0.125
uncongenial	0.194333333333	0.347333333333
nonsensical	0.5	0.0
bristly	0.0	0.4375
stoicism	0.125	0.375
ungainliness	0.125	0.5
activating	0.375	0.25
fir	0.0	0.125
hobbledehoy	0.0	0.875
wickedly	0.0	0.375
fit	0.322916666667	0.0833333333333
uncoordinated	0.3125	0.3125
fix	0.0	0.28125
striking	0.25	0.0625
fib	0.0	0.25
preemie	0.0	0.125
effects	0.0	0.125
multidimensional	0.125	0.25
undeveloped	0.0	0.4375
glutted	0.125	0.125
troublous	0.0	0.625
disconnection	0.0	0.25
uninfluenced	0.25	0.625
ankylosaurus	0.125	0.0
toleration	0.0	0.125
esoterica	0.0	0.25
smirk	0.3125	0.3125
indiscretion	0.1875	0.3125
gradation	0.375	0.0
encourage	0.1875	0.0
adapt	0.25	0.0
unarmored	0.0	0.125
dinginess	0.25	0.125
outburst	0.166666666667	0.208333333333
sheep	0.25	0.0
sheetrock	0.375	0.0
flickering	0.25	0.0
estimate	0.25	0.0833333333333
disturber	0.0	0.5
sickeningly	0.0	0.125
connive	0.25	0.0
disturbed	0.0	0.625
ineffectively	0.25	0.0
mendacity	0.125	0.5
stripe	0.1875	0.0
breed	0.0	0.25
peachy	0.5625	0.0625
unpierced	0.0	0.125
disfigured	0.25	0.375
reciprocally	0.0625	0.1875
clamorous	0.0	0.5
behaviourism	0.5	0.0
masted	0.0	0.25
service	0.0	0.125
dissuasion	0.0	0.125
zinfandel	0.0	0.125
needed	0.125	0.0
master	0.375	0.025
fuzziness	0.5	0.375
walkaway	0.125	0.125
enthrall	0.125	0.0
punning	0.0	0.25
organically	0.125	0.0
integrally	0.125	0.0
positively	0.125	0.125
maglev	0.125	0.0
rewardingly	0.375	0.0
meditative	0.25	0.0
idly	0.125	0.0
idle	0.03125	0.53125
moneyless	0.0	0.625
feeling	0.0625	0.1875
assertiveness	0.125	0.0
myositis	0.0	0.375
mesmerise	0.125	0.0
spiff	0.375	0.25
brawny	0.125	0.0
arousal	0.3125	0.0
thaw	0.125	0.0
plenteousness	0.0	0.375
affairs	0.5	0.0
wholesome	0.4375	0.0625
uncouth	0.25	0.25
toothed	0.125	0.0
affaire	0.375	0.125
pixilated	0.0	0.25
limitless	0.0	0.5
diminishing	0.25	0.125
vexing	0.0625	0.6875
chumminess	0.556	0.444
venial	0.375	0.0
diagnosable	0.25	0.0
reverence	0.40625	0.0625
fluster	0.125	0.208333333333
oceangoing	0.375	0.0
ragnarok	0.0	0.625
multiracial	0.125	0.0
ecclesiasticus	0.5	0.0
promiscuously	0.125	0.0
whimsey	0.3125	0.0
scream	0.1875	0.1875
dickey	0.0	0.5
incorruptibility	0.25	0.75
cheaply	0.25	0.0
lube	0.3125	0.0
assaultive	0.25	0.0
bliss	1.0	0.0
rich	0.458333333333	0.0833333333333
plate	0.125	0.0
incongruent	0.0	0.25
guileful	0.625	0.125
clumsiness	0.0	0.25
altogether	0.25	0.125
umbrageous	0.0	0.5625
uncleanliness	0.125	0.5
droning	0.0	0.25
stoically	0.125	0.0
nicely	0.25	0.0
patch	0.0	0.125
sensitivity	0.09375	0.125
verboseness	0.0	0.5
advisedly	0.375	0.0
playfulness	0.5	0.0
deadpan	0.375	0.375
motional	0.0	0.125
pissed	0.0	0.625
loth	0.125	0.625
conductive	0.5	0.0
ira	0.125	0.75
imprimatur	0.25	0.0
unobtrusiveness	0.125	0.625
ire	0.25	0.375
extend	0.25	0.0
nature	0.5	0.0
vestment	0.0	0.25
embracement	0.125	0.0
tyranny	0.0	0.375
incense	0.5	0.125
obscenity	0.166666666667	0.25
mortified	0.0	0.5
propitiousness	0.5	0.125
unsymmetrical	0.125	0.25
fondler	0.1875	0.0
limitedly	0.25	0.0
granularity	0.125	0.25
meaningfulness	0.75	0.125
wearying	0.0	0.625
unhealed	0.0	0.5
charnel	0.0	0.5
basque	0.0	0.125
underdone	0.125	0.0
insatiably	0.125	0.0
triviality	0.125	0.291666666667
muck	0.0	0.25
much	0.1875	0.0416666666667
destructible	0.125	0.125
dehumanised	0.125	0.125
fry	0.0	0.625
aphrodisiacal	0.625	0.0
obese	0.25	0.25
spiv	0.5	0.125
spit	0.0	0.5
katharsis	0.375	0.0
spic	0.25	0.125
spik	0.0	0.25
skilfully	0.25	0.0
wildcat	0.0	0.25
participatory	0.125	0.0
superlunary	0.5	0.125
professionally	0.125	0.0
brainstorm	0.25	0.0
ternate	0.25	0.0
basketweaver	0.125	0.0
prostrate	0.0	0.125
saltiness	0.0	0.125
healthiness	0.5	0.0
conditioned	0.25	0.25
anhedonia	0.0	0.625
